Big	Grande<br>Questa scarpa è più grande dell’altra.<br>This shoe is bigger than the other one.
Play a musical instrument	Suonare uno strumento musicale<br>È importante imparare a suonare uno strumento musicale fin da piccoli.<br>It is important to learn how to play a musical instrument from an early age.
Surf the net	Navigare in internet<br>I bambini dovrebbero navigare in internet insieme ai genitori.<br>Children should surf the net with their parents.
Collect stamps	Collezionare francobolli<br>Mia nonna continua a collezionare francobolli, anche se è difficile trovarli.<br>My grandmother keeps on collecting stamps, even if it is hard to find them.
Quiz	Quiz<br>Ha vinto 2.000 euro rispondendo a un quiz in TV.<br>He won 2,000 euros by answering a quiz on TV.
Crime Drama	Poliziesco<br>Quel film poliziesco è davvero eccezionale!<br>That crime drama is really exceptional!
Musical instrument	Strumento musicale<br>È così creativo che ha inventato un nuovo strumento musicale.<br>He is so creative that he invented a new musical instrument.
Rock music	Musica rock<br>Preferisco la musica rock al pop.<br>I prefer rock music to pop music.
Play chess	Giocare a scacchi<br>Per giocare a scacchi la strategia è essenziale.<br>To play chess, strategy is essential.
Play poker	Giocare a poker<br>È bravo a giocare a poker. Non so come abbia imparato.<br>He is good at playing poker. I don’t know how he learnt.
Enjoy a hobby	Avere un hobby<br>Durante la vecchiaia è importante avere un hobby.<br>It is important to enjoy a hobby during old age.
Chess	Scacchi<br>È il migliore a giocare a scacchi.<br>He is the best at playing chess.
Reading	Lettura<br>Dovresti migliorare le tue capacità di lettura.<br>You should improve your reading skills.
Playing cards	Giocare a carte<br>Adoro giocare a carte con i miei amici in vacanza.<br>I love playing cards with my friends on holiday.
Trombone	Trombone<br>Suona il trombone nella Filarmonica di Berlino.<br>He plays the trombone in the Philharmonic of Berlin.
Harmonica	Armonica a bocca<br>Suonare l’armonica a bocca non è affatto facile.<br>Playing harmonica is not easy at all.
Movie theatre	Cinema<br>Ho fatto un abbonamento in un cinema locale.<br>I made a subscription to a local movie theatre.
Theatre	Teatro<br>Vado a teatro una volta al mese.<br>I go to the theatre once a month.
Opera	Opera<br>Mio nonno era molto appassionato di opera.<br>My grandpa was very keen on opera.
TV show	Programma televisivo<br>Non chiamare la nonna quando guarda il suo programma televisivo preferito!<br>Don’t call grandma when she is watching her favourite TV show!
Speaker	Cassa<br>Devo trovare una cassa per il concerto di stasera.<br>I have to find a speaker for tonight’s concert.
Festival	Festival<br>Ci sono molti festival in Italia in estate.<br>There are many festivals in Italy during the summer.
Take a picture	Scattare una foto<br>Prima di scattare una foto, decidi qual è il tuo obiettivo.<br>Before taking a picture, decide what’s your focus.
Program	Programma<br>Chi è il presentatore di quel nuovo programma?<br>Who’s the presenter of that new program?
Channel	Canale<br>Questo è il mio canale di sport preferito.<br>This is my favourite sports channel.
Poker	Poker<br>Il poker è l’unico gioco di carte che conosco.<br>The only card game I know is poker.
Pop music	Musica pop<br>I miei figli preferiscono la musica pop a quella classica.<br>My sons prefer pop music to classical music.
Classical music	Musica classica<br>Questo è un capolavoro di musica classica.<br>This is a masterpiece of classical music.
Rap music	Musica rap<br>È un famoso cantante di musica rap.<br>He is a famous rap music singer.
Band	Gruppo<br>Il mio gruppo è popolare tra gli adulti, non tanto tra i giovani.<br>My band is popular among adults, not so much among young people.
Rock ’n’ roll	Rock ’n’ roll<br>Suo padre è una famosa star del rock ’n’ roll.<br>His father is a famous rock ’n’ roll star.
Plot	Trama<br>La trama di questo film è insignificante.<br>The plot of this film is insignificant.
Enjoy	Divertirsi<br>Ti vengo a prendere quando il concerto è finito. Divertiti!<br>I'll pick you up when the concert is over. Enjoy!
Cartoons	Cartoni animati<br>Guardavo i cartoni animati la domenica mattina quando ero un bambino.<br>I watched cartoons on Sunday mornings when I was a child.
Drums	Batteria<br>Suona la batteria a casa per esercitarsi, ma i vicini si lamentano sempre.<br>She plays drums at home to practice but neighbours are always complaining.
Be keen on	Essere appassionato di<br>Non penso di essere appassionato di golf.<br>I don’t think I am keen on golf.
Be good at	Essere bravo a<br>Gli dicono di essere bravo a giocare a calcio.<br>He is told to be good at playing football.
Be terrible at	Essere terribile a<br>Pensa di essere terribile a cantare, ma ha una bellissima voce.<br>She thinks she's terrible at singing, but she has a beautiful voice.
Husband	Marito<br>Suo marito è un ingegnere famoso e lavora a Dubai.<br>Her husband is a famous engineer and works in Dubai.
Parents	Genitori<br>I miei genitori vivono alla porta accanto.<br>My parents live next door.
Anniversary	Anniversario<br>Buon anniversario per i vostri 20 anni di matrimonio!<br>Happy anniversary for your 20 years of marriage!
Love	Amare<br>Amare è la cosa che ci rende più felici.<br>Love is what makes us happier.
Daughter	Figlia<br>Mia figlia ha 3 anni ed è molto alta.<br>My daughter is 3 years old and she is very tall.
Son	Figlio<br>Suo figlio lavora come medico negli Stati Uniti.<br>His son works as a doctor in the United States.
Wife	Moglie<br>Mia moglie e mia figlia hanno lo stesso colore di occhi.<br>My wife and my daughter have the same eye colour.
Grandmother	Nonna<br>Mia nonna è la migliore del mondo in cucina!<br>My grandmother is the best in the world of cooking!
Grandfather	Nonno<br>Mio nonno ha partecipato a entrambe le Guerre Mondiali.<br>My grandfather took part in both the World Wars.
Wedding	Matrimonio<br>Il giorno del mio matrimonio, mio papà ha fatto un incidente.<br>On my wedding day, my father had a car crash.
Girlfriend	Ragazza<br>Ogni settimana ha una ragazza diversa.<br>Every week he has a different girlfriend.
Younger brother	Fratello minore<br>Mio fratello minore lavora in Svizzera.<br>My younger brother works in Switzerland.
Younger sister	Sorella minore<br>È la sorella minore di mia moglie.<br>She is my wife's younger sister.
Resemble	Assomigliare<br>Vorrei assomigliare a te.<br>I would like to resemble you.
Mr.	Signor<br>Il Signor Smith è di nazionalità inglese.<br>Mr. Smith is British.
Girl	Bambina<br>Ho saputo che Alice ha appena partorito una bambina.<br>I heard that Alice has just given birth to a baby girl.
Visit relatives	Andare a trovare i parenti<br>Ad agosto, la mia famiglia è abituata ad andare a trovare i parenti in Italia.<br>In August, my family is used to visit relatives in Italy.
Boyfriend	Ragazzo<br>Il suo nuovo ragazzo è spagnolo.<br>Her new boyfriend is Spanish.
Child	Bambino<br>Da bambino, mi piaceva andare in bicicletta su e giù per la collina.<br>When I was a child, I enjoyed riding my bike up and down the hill.
Baby	Bambino<br>Guarda quel bambino! È così carino.<br>Look at that baby! He is so cute.
Boy	Bambino<br>Ha avuto un bambino la scorsa settimana.<br>She had a baby boy last week.
Engage	Fidanzarsi<br>Non hanno alcuna intenzione di fidanzarsi.<br>They don’t have any intention to engage.
Older brother	Fratello maggiore<br>Lui è il mio fratello maggiore. Vive a Roma.<br>He is my older brother. He lives in Rome.
Older sister	Sorella maggiore<br>Hai una sorella maggiore? Non lo sapevo<br>Have you got an older sister? I didn’t know.
Mrs.	Signora<br>La Signora Rossi è sempre molto elegante.<br>Mrs. Rossi is always very elegant.
Neighbours	Vicini<br>I miei vicini sono così rumorosi che a volte chiamo la polizia.<br>My neighbours are so noisy that sometimes I call the police.
Elderly	Anziano<br>Il mio nonno anziano è in ottima forma!<br>My elderly grandpa is in such a good shape!
Senior Citizen	Pensionato<br>Come pensionato, ha molti benefici sui trasporti pubblici.<br>As a senior citizen, he has many benefits on public transportation.
Ceremony	Cerimonia<br>A che ora inizia la cerimonia?<br>What time does the ceremony start?
Present	Regalo<br>Non abbiamo idea del regalo da comprarle.<br>We have no idea about the present to buy her.
Birthday	Compleanno<br>Quando è il suo compleanno? Mi spiace, ma non me lo ricordo.<br>When is her birthday? I'm sorry, but I don’t remember.
Drama	Dramma<br>La morte del papà è stato un dramma per quella ragazza.<br>The dad's death was a drama for that girl.
Youth	Giovinezza<br>La mia giovinezza è stata piena di felicità.<br>My youth period was full of joy.
Birth	Nascita<br>La tua data di nascita?<br>What’s your birth date?
Character	Carattere<br>Ha lo stesso carattere di sua madre.<br>He has got the same character as his mother.
Family photograph	Fotografia di famiglia<br>L’unico ricordo della mia infanzia è una fotografia di famiglia in campagna.<br>The only memory of my childhood is a family photograph in the countryside.
Father	Padre<br>Da quando è diventato padre è più maturo.<br>Since when he became a father he is more mature.
Mother	Madre<br>È tua madre? Assomiglia a tua sorella.<br>Is she your mother? She looks like your sister.
Relatives	Parenti<br>A Natale la mia famiglia e i miei parenti si riuniscono a casa di mio nonno.<br>At Christmas my family and relatives gather at my grandpa's house.
Uncle	Zio<br>Mio zio lasciò l'Italia due anni fa.<br>My uncle left Italy two years ago.
Aunt	Zia<br>La mia vecchia zia ha sposato un altro uomo dopo la morte del marito.<br>My old aunt married another man after her husband's death.
Twins	Gemelli<br>Quei gemelli sono identici. Non posso dire chi è chi.<br>Those twins are identical. I can't say who is who.
Only child	Figlio unico<br>È figlio unico. Non ha né fratelli né sorelle.<br>He is an only child. He has neither brothers nor sisters.
Cousin	Cugino/cugina<br>Mio cugino è nella mia stessa classe.<br>My cousin is in the same class as me.
To marry	Sposare<br>Lui le ha chiesto di sposarlo dopo un viaggio a NY.<br>He asked her to marry him after a trip to NY.
To get divorced	Divorziare<br>Non avrei mai immaginato che potessero divorziare. Sono una cosi bella coppia.<br>I would have never imagined they could get divorced. They are such a nice
Get on	Andare d’accordo<br>I miei genitori riescono ad andare d'accordo dopo 50 anni di matrimonio.<br>My parents are able to get on well after 50 years of marriage.
Adopt a child	Adottare un bambino<br>Hanno deciso di adottare un bambino dal Kenya.<br>They decided to adopt a child from Kenya.
Separate	Separarsi<br>Quella coppia ha concordato di separarsi a causa di molti fraintendimenti.<br>That couple agreed to separate because of many misunderstanding.
Friend	Amico<br>È l’amico di mio fratello. Si chiama Marco.<br>He's my brother's friend. His name is Marco.
Friend	Amica<br>È l’amica della quale ti parlavo.<br>She is the friend I told you about.
An old friend	Un vecchio amico<br>Un vecchio amico non ti tradisce mai.<br>An old friend never betrays you.
A close friend	Un amico intimo<br>Racconta i suoi problemi solo al suo amico intimo.<br>He tells his problems only to his close friend.
One’s best friend	Il migliore amico (di qualcuno)<br>Il migliore amico di Claudio c'è sempre per lui.<br>Claudio’s best friend is always there for him.
Loyal	Leale<br>Un amico deve essere leale e sincero.<br>A friend must be loyal and sincere.
Caring	Premuroso<br>Lui è così premuroso con lei. Sono più che amici.<br>He is so caring with her. They are more than friends.
Reliable	Affidabile<br>Si è dimostrato un amico affidabile.<br>He proved to be a reliable friend.
Same age	La stessa età<br>“Avete la stessa età?” “No, lei è più grande”<br>“Are you the same age?” No, she is older”
Same sex	Lo stesso sesso<br>Sei d'accordo con il matrimonio tra persone dello stesso sesso?<br>Do you agree with same sex marriage?
Similar interests	Interessi simili<br>Per essere amici bisogna condividere interessi simili.<br>To be friends, you have to share similar interests.
Make friends	Fare amicizie<br>Faccio fatica a fare amicizie.<br>I struggle to make friends.
Spend time together	Trascorrere il tempo insieme<br>Un amico è qualcuno con cui trascorrere del tempo insieme.<br>A friend is someone you spend some good time together.
Chat	Chiacchierare<br>Mi piace incontrare le mie amiche e passare ore a chiacchierare.<br>I like meeting my friends and spend hours chatting.
Trust	Fidarsi<br>Non riesce a fidarsi di me. Cosa posso fare?<br>She is not able to trust me. What can I do?
